name,code,description,lecturer_id,semester_id
Web Development Fundamentals,CS101,Learn HTML CSS JavaScript and responsive design,,
Database Management Systems,CS201,Introduction to SQL MySQL and database design concepts,,
Mobile App Development,CS301,Create Android and iOS apps using modern frameworks,,
Data Structures and Algorithms,CS102,Essential programming concepts and problem solving,,
Software Engineering Principles,CS401,Best practices for software development lifecycle,,
Computer Networks,CS301N,Network protocols TCP/IP and network security fundamentals,,
Artificial Intelligence Basics,CS501,Introduction to AI machine learning and neural networks,,
Cybersecurity Fundamentals,CS601,Information security risk management and ethical hacking,,
Cloud Computing Essentials,CS701,AWS Azure and Google Cloud platform services,,
Digital Marketing Strategy,MKT301,SEO social media and online marketing techniques,,
